field,type,default
schema_version,str,1.0
dealer_id,str,apache_camping_center
source_url,str,
scraped_at_utc,str,
stock_number,Optional[str],
vin,Optional[str],
condition,Optional[str],
year,Optional[int],
manufacturer,Optional[str],
brand,Optional[str],
model,Optional[str],
floorplan,Optional[str],
display_title,Optional[str],
rv_category,Optional[str],
major_type,Optional[str],
location,Optional[str],
inventory_status,Optional[str],
sellable,Optional[bool],
pipeline_stage,Optional[str],
price_usd,Optional[int],
image_url,Optional[str],
sleeps,Optional[int],
slides,Optional[int],
overall_length_ft,Optional[float],
exterior_width_in,Optional[float],
exterior_height_in,Optional[float],
uvw_lb,Optional[int],
gvwr_lb,Optional[int],
ccc_lb,Optional[int],
published_hitch_pin_lb,Optional[int],
fresh_water_gal,Optional[float],
gray_water_gal,Optional[float],
black_water_gal,Optional[float],
lp_tank_capacity_lb,Optional[float],
lp_tank_count,Optional[int],
axle_count,Optional[int],
tire_size,Optional[str],
truck_bed_size,Optional[str],
body_style,Optional[str],
cg_front_in,Optional[float],
raw_specs,"dict[str, str]",<dataclasses._MISSING_TYPE object at 0x7f3a9f4741a0>
provenance,"dict[str, dict[str, Any]]",<dataclasses._MISSING_TYPE object at 0x7f3a9f4741a0>
parse_warnings,list[str],<dataclasses._MISSING_TYPE object at 0x7f3a9f4741a0>
